id,id_vacancies,id_skills
7648d337-73c9-42e4-8eeb-a636bd351372,6f1b84d8-4019-4bb4-b4f3-746b3a3c5b25,1eb17de4-1a53-42e1-b6cc-b3cdaafcd7b4
bb0677ed-4e7d-4655-a10b-250ecb14b5a3,6f1b84d8-4019-4bb4-b4f3-746b3a3c5b25,74c90dc3-4cd4-4d79-a1d7-95eb9f510d01
35fd430d-e242-4da4-8bb2-a94729b56284,92315f19-d8b1-48f6-b951-e4e5436c2a43,cc0e4ac3-3c05-4baf-b88c-3032f322a647
8a5b1c1b-0d4d-4729-8460-dccd3d897074,92315f19-d8b1-48f6-b951-e4e5436c2a43,8d3b92d0-e8d0-414f-bb46-7c1dba14b368
3e1ae28d-cb4d-4ead-904e-a28c7ff48b46,9e5b8b4e-76ad-475a-9989-5d6a4637b88e,5b072f8b-1733-4e15-a702-e399d2f8bb96
90dda969-0bcf-4d1e-8109-f3b8e8f7e2a3,9e5b8b4e-76ad-475a-9989-5d6a4637b88e,ff67b6ee-e9c2-4936-9234-fb3db8f1bc14
56a576c3-ce36-43aa-bb3b-698bc262dbc3,a3a1b0f4-6b3a-4c55-b4bb-58f96b0c5511,00c44a17-a7cc-4ff3-81ff-79ab44278ace
500a2059-2c69-48c8-9cfa-8aff5daab00f,a3a1b0f4-6b3a-4c55-b4bb-58f96b0c5511,3ca15ad8-b02c-4cc8-bad4-9fe5a819a7cf
37275937-c16a-4b5e-9b50-9c364c932561,7cbf1e7e-b739-47b3-b16d-b6be2f220ab2,1976ecec-29c3-40e2-8b57-4a7953f11476
e1e2d9c5-d6c6-4679-b5ea-d6a629d69d82,7cbf1e7e-b739-47b3-b16d-b6be2f220ab2,4056c008-ac53-402e-86f9-c4ebb0f5394c
06e0bb3c-ba50-4913-9f1c-693bf0b9449b,c703c0fe-b559-4a2d-998f-83df40e663cb,1eb17de4-1a53-42e1-b6cc-b3cdaafcd7b4
b7d3a55c-9b77-4b59-a325-59ace6114d4d,c703c0fe-b559-4a2d-998f-83df40e663cb,74c90dc3-4cd4-4d79-a1d7-95eb9f510d01
c43edb11-fd67-4372-a2ae-3d147ae19721,5277f303-b4c6-4c8b-bc51-d7f1f9b4225f,cc0e4ac3-3c05-4baf-b88c-3032f322a647
90bea614-7007-4aab-84f0-c37ce4f8245d,5277f303-b4c6-4c8b-bc51-d7f1f9b4225f,8d3b92d0-e8d0-414f-bb46-7c1dba14b368
59dd3533-4a1b-456f-a809-8ffa78a7d7d9,2f6e4e34-6b58-4420-bb2e-b34f469728d3,5b072f8b-1733-4e15-a702-e399d2f8bb96
52be9eca-9995-4442-97dd-244740216f82,2f6e4e34-6b58-4420-bb2e-b34f469728d3,ff67b6ee-e9c2-4936-9234-fb3db8f1bc14
03e65d48-52cf-41c1-bc80-436aab8f3d21,44e16e97-56d7-4fd7-b0f1-4017aaf3d518,00c44a17-a7cc-4ff3-81ff-79ab44278ace
52afa4ac-5860-4d63-9e87-0ab783389c0d,44e16e97-56d7-4fd7-b0f1-4017aaf3d518,3ca15ad8-b02c-4cc8-bad4-9fe5a819a7cf
5a705e61-7dbf-4139-b698-89aef7459047,76cb94d2-5c4e-4673-94b2-80d5391fcce7,1976ecec-29c3-40e2-8b57-4a7953f11476
28fb9034-a1de-4710-9abc-85977de84db0,76cb94d2-5c4e-4673-94b2-80d5391fcce7,4056c008-ac53-402e-86f9-c4ebb0f5394c
af349bfb-3aaf-4618-8c26-2df5fd1e94a4,6f1b84d8-4019-4bb4-b4f3-746b3a3c5b25,1eb17de4-1a53-42e1-b6cc-b3cdaafcd7b4
5f5b270f-1228-4b0e-8c32-b342e76bc195,6f1b84d8-4019-4bb4-b4f3-746b3a3c5b25,74c90dc3-4cd4-4d79-a1d7-95eb9f510d01
5750b8c4-1a7e-4e59-a7f1-1f403fa4c7e4,92315f19-d8b1-48f6-b951-e4e5436c2a43,cc0e4ac3-3c05-4baf-b88c-3032f322a647
77b91e26-42ef-45c6-9c4a-6efbf0adf249,92315f19-d8b1-48f6-b951-e4e5436c2a43,8d3b92d0-e8d0-414f-bb46-7c1dba14b368
4df48a52-23cb-49e6-9bbc-7cbeba0923d4,9e5b8b4e-76ad-475a-9989-5d6a4637b88e,5b072f8b-1733-4e15-a702-e399d2f8bb96
2630c242-be33-4799-a7d7-a12a379c8bea,9e5b8b4e-76ad-475a-9989-5d6a4637b88e,ff67b6ee-e9c2-4936-9234-fb3db8f1bc14
04446adb-b0e3-418c-8db1-e5c0d32cee9b,a3a1b0f4-6b3a-4c55-b4bb-58f96b0c5511,00c44a17-a7cc-4ff3-81ff-79ab44278ace
a11c14e1-d539-4b6e-86fc-34112817e3ca,a3a1b0f4-6b3a-4c55-b4bb-58f96b0c5511,3ca15ad8-b02c-4cc8-bad4-9fe5a819a7cf
007d9d95-88e4-4511-bde0-7184ad0c3d02,7cbf1e7e-b739-47b3-b16d-b6be2f220ab2,1976ecec-29c3-40e2-8b57-4a7953f11476
ac87deda-c67b-421a-9a00-9418f2bc88d2,7cbf1e7e-b739-47b3-b16d-b6be2f220ab2,4056c008-ac53-402e-86f9-c4ebb0f5394c
